size,MAE,ppvalue,barrier,method,landscape
15,3.31998175517214,0.288396585748611,strong,clustering,densely
10,1.386446479574,0.403420753429197,strong,clustering,densely
10,3.39453736444468,0.156444252097029,strong,clustering,densely
10,1.88876527742597,0.453820571461074,strong,clustering,densely
10,1.06732919518207,0.374894862160736,strong,clustering,densely
10,2.42461147560768,0.157883906543137,strong,clustering,densely
10,4.28976390686776,0.0705638436869181,strong,clustering,densely
10,1.94593734816833,0.608600245969252,strong,clustering,densely
10,1.64876456571322,0.613895287385759,strong,clustering,densely
10,3.37560927723145,0.463588068272935,strong,clustering,densely
10,1.86780681471749,0.439508231109058,strong,clustering,densely
40,2.1791977806577,0.345566637052477,weak,clustering,densely
40,2.97613572041153,0.15733988813562,weak,clustering,densely
40,2.34611522699631,0.425335075725975,weak,clustering,densely
40,2.71639417418213,0.381254147820027,weak,clustering,densely
40,3.04870209103999,0.377436485592183,weak,clustering,densely
40,2.87571814286241,0.630108847578122,weak,clustering,densely
40,2.52703391293615,0.358399411686621,weak,clustering,densely
40,2.26556835019685,0.405909538785632,weak,clustering,densely
40,2.28477843134856,0.34335372384023,weak,clustering,densely
40,3.07979626994109,0.159310803263004,weak,clustering,densely
35,2.16253401614201,0.56200514359416,weak,clustering,densely
35,2.163785564626,0.273814829612788,weak,clustering,densely
35,2.69389521818518,0.234533103888469,weak,clustering,densely
35,3.20426709072864,0.19934450338534,weak,clustering,densely
35,2.87077162110344,0.19813374515619,weak,clustering,densely
35,2.56291521525396,0.517018882818863,weak,clustering,densely
35,2.55840983535749,0.170446226709486,weak,clustering,densely
35,3.5172986744577,0.206186499282333,weak,clustering,densely
35,2.95123721205541,0.161653903405917,weak,clustering,densely
35,2.70320138529415,0.21343904362507,weak,clustering,densely
30,2.80381355747847,0.361721196372413,weak,clustering,densely
30,1.93418976625371,0.511370947118303,weak,clustering,densely
30,2.13422025479682,0.470217327331299,weak,clustering,densely
30,2.44912043131722,0.221270496146485,weak,clustering,densely
30,1.85220916807563,0.528633825022239,weak,clustering,densely
30,2.26394010108406,0.588321580779434,weak,clustering,densely
30,2.05210797280338,0.512148283317882,weak,clustering,densely
30,2.43049330139494,0.496088902646262,weak,clustering,densely
30,1.96646635830977,0.326511217950168,weak,clustering,densely
30,2.17020680639352,0.427806755185818,weak,clustering,densely
25,2.39957918404474,0.451218458380991,weak,clustering,densely
25,2.62119287736801,0.551905131285291,weak,clustering,densely
25,2.02638025070583,0.572403705499283,weak,clustering,densely
25,3.76779772598792,0.158607792119996,weak,clustering,densely
25,1.79920391123529,0.666342220131314,weak,clustering,densely
25,2.16370882438141,0.299257890165451,weak,clustering,densely
25,4.0525833708796,0.102785738693018,weak,clustering,densely
25,3.5007881748674,0.234968240938141,weak,clustering,densely
25,2.7319750438151,0.345422064215027,weak,clustering,densely
25,1.37277651464608,0.429076530019368,weak,clustering,densely
20,2.62829233307015,0.205310735208967,weak,clustering,densely
20,3.12255564252167,0.791636362109195,weak,clustering,densely
20,2.59859189256781,0.262286556279427,weak,clustering,densely
20,2.17293029625288,0.355868167316778,weak,clustering,densely
20,2.80857033664388,0.300148624769088,weak,clustering,densely
20,1.30308076682196,0.424061350806508,weak,clustering,densely
20,2.75382345048938,0.275521789680136,weak,clustering,densely
20,3.24668194885196,0.166211678020991,weak,clustering,densely
20,3.3012165256745,0.134904925608436,weak,clustering,densely
20,2.65664292457986,0.149755288163819,weak,clustering,densely
15,2.91594639208243,0.26852026750812,weak,clustering,densely
15,2.92070263895296,0.277431897293784,weak,clustering,densely
15,1.78678817305478,0.5129427912137,weak,clustering,densely
15,4.34251219362993,0.387930591012976,weak,clustering,densely
15,2.03070926269999,0.343119977628128,weak,clustering,densely
15,2.4668944654769,0.247224973849983,weak,clustering,densely
15,2.16261010908909,0.550245230563519,weak,clustering,densely
15,2.85698369741012,0.625516249275146,weak,clustering,densely
15,1.30538159792896,0.447600710196633,weak,clustering,densely
15,2.93281387341052,0.719689010955943,weak,clustering,densely
10,2.23915266873707,0.351798802642588,weak,clustering,densely
10,1.58836993456552,0.65557873408837,weak,clustering,densely
10,4.27681590187589,0.238755777947364,weak,clustering,densely
10,2.77135247805702,0.198144868328808,weak,clustering,densely
10,2.0383126749722,0.503224521275164,weak,clustering,densely
10,2.29262862233894,0.202976576099407,weak,clustering,densely
10,4.53775799108009,0.094118480180389,weak,clustering,densely
10,1.40388882236655,0.327941583680289,weak,clustering,densely
10,0.814717266439019,0.422875623683468,weak,clustering,densely
10,3.60186632142625,0.114039894826141,weak,clustering,densely
40,3.35011719513171,0.630248001450429,strong,random,densely
40,3.20644979876836,0.573907874111804,strong,random,densely
40,3.62125587018408,0.359025741815689,strong,random,densely
40,3.9473487074673,0.564059323309027,strong,random,densely
40,3.99050111341921,0.18582894776015,strong,random,densely
40,2.21349959139609,0.507328529741685,strong,random,densely
40,2.85196593961786,0.498254734734253,strong,random,densely
40,2.38263890128953,0.52917730148317,strong,random,densely
40,3.05691263548249,0.751562327903905,strong,random,densely
40,2.80263906219095,0.656558956391347,strong,random,densely
35,3.10937283448499,0.299296532686791,strong,random,densely
35,2.32899604713432,0.535633681937729,strong,random,densely
35,2.53974433810795,0.486223888989172,strong,random,densely
35,2.62657063072924,0.348044116612205,strong,random,densely
35,2.63462612746831,0.791594885460284,strong,random,densely
35,2.73391101533708,0.765333139157847,strong,random,densely
35,1.95639809826326,0.399755263412767,strong,random,densely
35,2.49758641904148,0.692129529690515,strong,random,densely
35,3.20720822704299,0.288157849991086,strong,random,densely
35,1.81722872299907,0.601755567402647,strong,random,densely
30,2.1125272214107,0.441446094070292,strong,random,densely
